Comment,Sentiment
this why mario better not be anything but mario bros star war became trash since try be something other then starwars,negative
this series is terrible whoever wrote the story line should get a job in walmart where they might be able to do a proper job because writing definitely isn't one of their talent if they do a second season they should get somebody who can write story and dialogue and possibly some actor who can you know act,positive
for me the music in this had me in tear remind me of the first trilogy,neutral
i destroyed a planet i let the starship crew of ussdiscovery witness it,negative
do you know why the hero of andor is a man because a woke a is disney had the hero been a woman she would have won the war and destroyed the empire in and a half hour,positive
wow thats a stunning trailer hard to tell difference between cgi and reality,positive
this is a good trailer but it literally spoil the entire movie,positive
wow disney ha outdone itself with all the new star war series i wa disappointed when i heard disney bought star war totally unfounded i don't think it could be in better hand thanks disney,positive
is ahsoka set up in the event during or after the mandalorian it wa to be after the event from the book of boba fett for ahsoka tano to get ready for her show to start in august,positive
the skywalker saga anakin skywalker's downfall episode i: the phantom menace episode ii: attack of the clone episode iii: revenge of the sith darth vader's redemption episode iv: a new hope episode v: the empire strike back episode vi: return of the jedi,negative
thrawn is my all time favourite sw character they better not ruin him ha i hope that timothy zahn wa a direct contributer to this series,positive
i have not been where people thought i wa and contact falcon lombardi of starfox,neutral
the engine ha to be in the front the droid army wa to send ship to usa and yavin signed count dooku sir ian,positive
it nice when the talented people aren't hamstrung by some kind of kathleen kennedy,positive
that final music arrangement may just be the best thing ever provided by the new trilogy,positive
when rey looked back at her undefeated army of all-woman jedi master and whispered for canto bight horse and charged bravely at the all-white army of straight men from second order i cried truly what a war-ending life-saving movie,positive
and still well up with tear seeing this trailer like i've been on a very long and difficult time away from everything i recognize and lost hope of ever seeing again but i start to see familiar surroundings that clue me in that the idea of actually getting back home is real and getting close,positive
this show made me scared of the empire again no more cliched sith lord or imperial year old starship captain talking smack and promising doom but intelligent and dark motivation from real people the rebel are hunted mouse that have to turn into rat to fight back,positive
the sequel started with so much good will oh man if only we could start over star war skywalker legacy is ruined snd there no way to ever fix it,negative
i remember watching this trailer on a original xbox demo disc,positive
this trailer suck it like theyre hiding a lot theyd never do that,negative
rogue one is so underrated i would rank it right after the a new hope a the best star war movie,positive
i don't know why people are saying this trailer are full of spoiler what do you expect star war empire strike back and return of the jedi had already come out at this time so we all knew that anakin wa going to turn to the darkside and become darth vader we already knew the jedi would be extinct by a new hope,negative
the music of the trailer is amazing the movie itself on the other hand is insultingly bad,positive
i just hope the rebel are going to be like in the animated show i just finished it and i will be very dissapointed if that's not the case,positive
i don't know if we'll get any more season after this but it would be really cool to have cal kestis to make a guest appearance,positive
brilliance an amazing tv series keep up the top notch product,positive
this trailer is better than the movie and is one of the best sw trailer ever made,positive
that trailer suck if it made to advertise a game it only good if it announce a show or a movie lol game in this trailer,positive
this gotta be the best trailer ever made most because of the music chill just chill,positive
stop calling me roy i may possibly detonate their planet i'am actually the titan,negative
even after watching this movie more than a dozen time i get the same chill from this trailer especially the x-wings in the rain with that music at now a i did year ago glorious,positive
i dont care about those people who hate and love prequels and sequel starwars is starwars,negative
really good series much better than boba fett which wa just hilarious,positive
i see all these comment saying this trailer spoiled the whole movie but did it really going in never having seen the movie but knowing all the info from the previous combined i think this doesnt really spoil anything it not a spoiler seeing palpatine turn anakin to the dark side or seeing all the jedi be slain etc before this movie came out everyone knew that wa gonna happen and this trailer shed a little light on all that it not a spoiler if everyone already know what happened,neutral
my favorite character just got more cool i grew older and so did ahsoka i cant wait for this journey,positive
watching original star war still beat this even with all of today technology talk about bad acting bad make-up bad actor bad script no one in original star war wa british whats with all the british accent suddenly such random dialogue a if they just talking to fill up the minute episode small detail like the kid cassians shoe how can he have perfectly stitched shoe if everything on that plant wa handmade,negative
is this game playing elden ring cause i don't think it's working that well,positive
is there such a thing a going too far in the name of a righteous cause,neutral
i really didn't like this movie but now after watching and loving andor it might be time to give it another shot,positive
so i've watched obi wan the mandalorian andor and thisimafraid this come way behind the other seriesthis one seemed more like a gimmick and a place for trying out actorsany real actor only made cameo,positive
the empire strike back the revenge of the sith and rogue one are the trinity of star war in the movie,negative
watching this again today give me retroactive chill what an absolutely superb and frankly perfect show we got if this is a good a it get for sw fan ill gladly take it i dont see anyone else making anything even close to this until season come out it mind boggling we actually got something this well made,positive
i remember watching this when it came out and i thought this would be incredible and it wa just a shame that the last episode weren't a good,negative
bruh wa george lucas high or something literally this is the entire movie in minute,neutral
this trailer is so satisfyingly perfect in every way star war whyd they go ruin it all like they did break my heart,positive
how is ha it been month already and were probably still year away from it,positive
just started watching so this explains why england is empty of most people they all went to the andor universe lol everyone so far british and you expect to see a local pub and british drama lol,positive
im honestly glad i never watched any trailer made the series that much better,positive
i love asokas character but rosario dawson ha been lackluster with it imo,positive
matchup create blood they are fish with organ and green infused symbiotic evolution stem and hair folical created from elmer's glue,positive
i did enjoy the show the character were all mostly great and so wa the acting but tbh i did actually prefer the kenobi series i feel like they made boba fett a soft old man not the fearsome bounty hunter he used to be,positive
this soundtrack is a masterclass on how to take a well known theme and alter it slightly to create the feeling of nostalgia,positive
boringly slow pointless plot and what's actually going on doesn't work ha no end of money everyone know him and with a storyline that's flat this isn't the best of the clip shown seen episode and and not jazzed enough to watch the rd while ring and dragon are showing,negative
i would love to see a director cut with all the deleted scenesi hope they did not destroyed it because it will be the best way to promote andor on disney plus,positive
anyone else here after watching adedits modern trailer crazy how much better it is make this one look like the unofficial one,positive
how am i just now seeing this trailer for the first time after seeing all of the first season such a great show and this is a great trailer,positive
to this day this trailer remains one of the best star war trailer a well a a reminder of what could and should have been good lord how badly they fumbled the bag from here,positive
andor is literally everything this shouldve been: a good show but notice how the more disney star war distance themselves from the old character that have been milked to the edge and try to do something fresh the better it is season mandalorian rogue one and fallen order are perfect example,positive
almost year later and i'm still so disappointed they cut the tie fighter/jyn erso stare down scene at the end robbed of a great visual never before seen of a tie fighter just hovering,negative
please don't be a woke mess please don't be a woke mess please don't be a woke mess please do thrawn right,positive
wow what an unadulterated piece of garbage poor ewan doe a good job a always but the storyline is trash and moses is a horrible actress,negative
i had an imagination where this trailer ended when obi wan said hello there lol,positive
did anyone go to see meet joe black to watch this (i wa so i didn't),neutral
nobody talking about that they hade real ak like it weoponds that we use not starwars,positive
this is revolutionary by far the best series disney are on a role take note,positive
back here for another winge another cry of frustration into the ether i saw someone make a really good point about this show on another thread why o'why didn't they centre this show around obi wan trial and tribulation on tatooine so much potential there and make perfect sense you have so many character he could have interacted with or had episodic adventure with jabba boba fett darth maul cantina guest sand people wattothe list go on the fact he left his duty to watch over luke is laughable he should never have left the planet,positive
oof it's a good thing i didn't see this trailer before the movie cause it literally spoil the entire movie anyway this is just my favorite star war movie of all time,positive
watched the first it wa good got a very nice rogue vibe i enjoyed it congrats disney you managed to not screw it up this time we'll see if you are successful for the rest of the season finger crossed,positive
this is in my top three this movie gave me the same chill the original did it fantastic,positive
this show can't even hold a candle to the masterpiece of cinema the star war holiday special,positive
how good is it seems slightly better than obi-wankenobi from this trailer i would guess,positive
just watched the trailer for the first time and wanted to let you know: it's terrible shallow bombast without anything real lot of cgi and movie trope button-pushing,negative
i kind of consider the prequels i be non-canon because of how the story is basically a worker redux of the original trilogy and that palpatine just end up existing he just there,positive
disney will ruin it like they have all their other show (aside from andor),negative
star war luv to wait watching ahsoka mind blowing sci fi movie,negative
the show is pretty good but the dialogue between obi-wan and prince leia at some point can and is so pathetic that hurt plus the little girl can't act it's very annoying at some point that's my opinion,negative
i wa in th grade when i saw this in the theater and even then thought it wa mediocre but now in id kill for something like this instead of the sewage that is the sequel trilogy and whatever the hell else that's come out,negative
power up your delorean get out your flex capacity it's gonna be turned turn i gotta say t delorean,neutral
ngl in heinsight ep wa actually decent just ep wa utter trash,neutral
this trailer tell me nothing and y'all pumped watch it be a twin stick shooter lol,positive
for the people who hate the prequels you guy must know that these movie are for kid not for adult,negative
i remember waiting all day to download this trailer with k and realplayer or whatever app it required just to watch this,neutral
if i don't see the ezra in the show my life will never be completed,neutral
the thing with the balance and the old day not being about feeding slave cuz it will ramp up and what i wa saying what i'm saying is it be good not to show it in country it's people pretending to be the mafia within the police department we have slave now the un is not so well,positive
i love this trailer so much it give me chill and the nostalgia i miss star war movie,negative
this wa a great trailer it just left you with so much excitement and mystery every moment generates a who that and what wa that and whoa did you see that especially going in blind after all of the year waiting with this trailer there wa absolutely no way this movie wouldnt be record breaking making maker because you just had to go see this,positive
cant believ how much i enjoed this show more of this type please screw mandalorian and that frog baby this is real star war,negative
wonder if he will make it i mean really couldn't they have choosen some other character i mean one that we don't know the fate of ohh i'm so hyped to see if andor can pull this off and get the rebel resistance going what do you think think he will make it :p,positive
